Candidate ID|Office ID|Election ID|Allowed Votes|Candidate First Name|Candidate Last Name|Candidate Credentials|Candidate Bio
1|1|1|1|Gabriel|Lawrence|EdD|With a background in psychology and a passion for helping others unlock their full potential, this individual has dedicated their career to the field of coaching and personal development. Through their transformative coaching programs and workshops, they have empowered countless individuals to overcome obstacles, achieve their goals, and live lives of fulfillment and purpose. Their unique blend of empathy, insight, and practical wisdom has made them a trusted guide and mentor to clients seeking to create positive change in their lives.
2|2|1|1|Billy|Howard|MPA|
3|2|1|1|Justin|Stewart|DVM|
4|2|1|1|Amy|Bishop|DPT|
5|2|1|1|Anna|Rodriguez|DPT|
6|3|1|1|Catherine|Reed||With a background in finance and a keen eye for detail, this individual has established themselves as a trusted advisor in the world of investment management. Their strategic insights and prudent decision-making have consistently delivered strong returns for their clients, earning them a reputation as a savvy investor and a thought leader in the financial sector.
7|4|2|1|Dylan|King||
8|4|2|1|Laura|Mitchell|PharmD|
9|4|2|1|Zachary|Turner||
10|5|2|1|Aaron|Gonzalez|MSL|
11|5|2|1|Betty|Hanson||
12|6|2|1|Mary|Reed||With a background in psychology and a passion for mental health advocacy, this individual has dedicated their career to breaking down stigma and expanding access to quality mental healthcare services. Their work in community outreach and counseling has provided support and healing to countless individuals navigating life's challenges.
13|6|2|1|Roger|Jackson|MA|
14|7|3|1|Maria|Ortiz||
15|7|3|1|Richard|Brown|PharmD|
16|7|3|1|Christian|Black|PsyD|
17|8|3|1|Sarah|Wagner||
18|8|3|1|Alan|Olson||
19|8|3|1|Noah|Moreno||
20|8|3|1|Ronald|Shaw||
21|9|3|1|Betty|Garrett|DDS|
22|10|4|1|Shirley|Bailey||
23|10|4|1|Vicki|Hernandez||
24|10|4|1|Amanda|Hudson|DDS|
25|11|4|1|Patrick|Warren|MSW|
26|11|4|1|Jason|Shaw||
27|12|5|1|Vicki|Lewis|MSLIS|
28|12|5|1|Gregory|Nguyen||
29|12|5|1|Adam|Hamilton||
30|12|5|1|Shirley|Bradley||
31|13|5|1|John|James||
32|14|5|1|Mark|Baker||
33|14|5|1|Paul|Howard|DDS|
34|14|5|1|Katherine|Fox|BSc|
35|15|5|2|Jesse|Washington|PhD|
36|15|5|2|Karen|Gonzales|MSW|
37|16|6|1|Jennifer|Perry|BSN|
38|16|6|1|Melissa|Griffin||With a background in psychology and a passion for helping others unlock their full potential, this individual has dedicated their career to the field of coaching and personal development. Through their transformative coaching programs and workshops, they have empowered countless individuals to overcome obstacles, achieve their goals, and live lives of fulfillment and purpose. Their unique blend of empathy, insight, and practical wisdom has made them a trusted guide and mentor to clients seeking to create positive change in their lives.
39|17|6|2|Joseph|Gardner||
40|17|6|2|Gregory|Young|MPA|
41|18|6|1|Sean|Carpenter||
42|18|6|1|Marilyn|Shaw|MPH|
43|19|7|1|Jacob|Torres|DDS|
44|19|7|1|Justin|Gutierrez||
45|20|7|1|Mary|Martinez||
46|21|7|1|Benjamin|Stevens||
47|21|7|1|Roger|Shaw||
48|21|7|1|Joan|Welch||With a background in healthcare and a passion for serving others, this individual has devoted their life to improving the well-being of their community. Whether it's providing compassionate care to patients in need or advocating for policies that promote public health, they have consistently demonstrated a commitment to making a difference. Their unwavering dedication to their profession and their tireless efforts to address the evolving needs of society have earned them the respect and admiration of colleagues and peers alike.
49|21|7|1|Laurie|Ortiz|DO|
50|22|7|1|Joshua|Brown|RN|
51|22|7|1|Cynthia|Harvey||
52|22|7|1|Timothy|Welch||
